配對,區塊,端點,seed42第一次,seed42第二次,完全相同,seed43,漂移百分點
D0→D2,6,下界,-0.033557063631954855,-0.033557063631954855,True,-0.05736903920337922,-0.02381197557142437
D0→D2,6,上界,0.5917498956011091,0.5917498956011091,True,0.5824238178938193,-0.009326077707289947
D0→D2,12,下界,-0.012605824972002192,-0.012605824972002192,True,-0.027677696207601472,-0.015071871235599282
D0→D2,12,上界,0.5145917084955953,0.5145917084955953,True,0.5170837872222256,0.002492078726630282
D2→D3,6,下界,-4.879761818159425,-4.879761818159425,True,-4.8994399623667775,-0.01967814420735306
D2→D3,6,上界,2.5045547428084967,2.5045547428084967,True,2.6175493164779717,0.11299457366947506
D2→D3,12,下界,-3.598692279696923,-3.598692279696923,True,-3.70702280925774,-0.10833052956081696
D2→D3,12,上界,1.303900675066039,1.303900675066039,True,1.3027341427604366,-0.001166532305602215
D3→D5,6,下界,1.4732521238215868,1.4732521238215868,True,1.376897327317643,-0.09635479650394377
D3→D5,6,上界,5.142780772472568,5.142780772472568,True,5.231270520943331,0.08848974847076238
D3→D5,12,下界,1.0942997046030014,1.0942997046030014,True,1.210336167979399,0.11603646337639759
D3→D5,12,上界,4.437733350193732,4.437733350193732,True,4.327236252027202,-0.11049709816653014
C1→MOM_12_1,6,下界,0.028749672102532847,0.028749672102532847,True,-0.12337871842390985,-0.15212839052644267
C1→MOM_12_1,6,上界,7.401989606910547,7.401989606910547,True,7.583326171140054,0.18133656422950617
C1→MOM_12_1,12,下界,0.23338633393558136,0.23338633393558136,True,-0.11624240405074575,-0.3496287379863271
C1→MOM_12_1,12,上界,7.108317548067822,7.108317548067822,True,7.363277692215989,0.2549601441481669
C1→C1_12_1,6,下界,-1.3129075799918768,-1.3129075799918768,True,-1.3316905832105839,-0.018783003218707066
C1→C1_12_1,6,上界,3.232058842756078,3.232058842756078,True,3.4151321377707022,0.1830732950146241
C1→C1_12_1,12,下界,-1.1827449575721598,-1.1827449575721598,True,-1.3096071251452006,-0.12686216757304083
C1→C1_12_1,12,上界,3.410553431249556,3.410553431249556,True,3.521114782704108,0.11056135145455226
C1_12_1→MOM_12_1,6,下界,0.4702891623290844,0.4702891623290844,True,0.43900036500315615,-0.031288797325928264
C1_12_1→MOM_12_1,6,上界,5.63593751247549,5.63593751247549,True,5.771377267005106,0.13543975452961626
C1_12_1→MOM_12_1,12,下界,0.4054655528928299,0.4054655528928299,True,0.34343080248403546,-0.062034750408794394
C1_12_1→MOM_12_1,12,上界,5.73667899221275,5.73667899221275,True,5.894645688884391,0.15796669667164087
